BookingID,UserID,BookingDateTime,TotalPrice,Status,ServiceType
1,197,2025-02-14 22:21:13,8239.81,Refunded,Flight
2,6,2024-07-25 23:54:59,3952.2,Refunded,Flight
3,119,2025-09-21 06:10:14,14315.92,Confirmed,Flight
4,181,2025-11-16 14:23:12,263337.0,Cancelled,Hotel
5,299,2024-12-22 12:39:04,25416.12,Completed,Flight
6,287,2024-03-15 18:19:11,12082.05,Completed,Flight
7,295,2024-09-13 16:07:14,9536.19,Cancelled,Hotel
8,235,2025-11-28 16:46:27,31235.28,Confirmed,Hotel
9,118,2026-03-30 11:29:43,5133.24,Cancelled,CarRental
10,5,2025-12-18 09:35:17,41067.12,Confirmed,Flight
11,182,2024-08-11 20:53:17,11898.6,Completed,Flight
12,183,2024-06-08 03:53:03,14720.6,Confirmed,Train
13,162,2025-05-19 20:55:03,28608.57,Completed,Hotel
14,28,2025-06-22 15:24:26,10794.96,Pending,CarRental
15,235,2024-05-03 18:52:02,4627.03,Pending,Flight
16,186,2025-09-19 09:27:19,14024.41,Confirmed,Hotel
17,215,2025-12-18 13:33:19,8573.43,Completed,Train
18,118,2026-04-13 03:38:10,2353.3,Completed,Train
19,5,2024-06-29 15:20:49,13620.9,Pending,Flight
20,154,2024-09-13 20:28:00,82631.97,Confirmed,Hotel
21,134,2025-01-04 13:07:06,16971.98,Refunded,Hotel
22,180,2026-06-07 22:02:54,393267.96,Confirmed,Hotel
23,147,2025-04-19 22:59:59,7043.52,Confirmed,Train
24,176,2024-08-21 11:24:48,167952.96,Completed,Hotel
25,267,2025-04-06 15:04:22,5171.13,Confirmed,Flight
26,108,2024-06-19 14:27:21,18508.12,Confirmed,Flight
27,118,2024-09-10 10:20:47,72966.95,Pending,Hotel
28,88,2024-01-30 01:16:47,2204.79,Completed,Train
29,277,2024-06-30 21:30:41,381990.24,Pending,Hotel
30,223,2025-06-20 23:17:38,33154.2,Refunded,Flight
31,46,2025-03-28 11:12:32,32190.64,Completed,Hotel
32,5,2026-02-23 15:40:18,10170.64,Completed,Hotel
33,200,2026-04-28 13:46:32,64711.68,Confirmed,Flight
34,140,2024-10-18 23:36:34,16041.08,Refunded,Train
35,232,2024-10-05 22:40:25,4540.3,Pending,Flight
36,138,2024-05-08 15:57:44,35586.8,Confirmed,Flight
37,17,2024-12-04 02:55:15,27953.56,Confirmed,Flight
38,7,2024-05-04 09:03:51,10941.52,Cancelled,Bus
39,18,2024-07-22 16:46:42,8197.12,Confirmed,Hotel
40,22,2026-02-01 20:00:34,72559.76,Refunded,Flight
41,167,2024-01-16 06:05:36,18280.04,Completed,Hotel
42,244,2025-12-05 21:42:26,18257.66,Confirmed,Flight
43,174,2026-02-16 22:45:37,34035.02,Confirmed,Flight
44,178,2026-04-04 15:58:23,25390.6,Confirmed,Flight
45,279,2024-12-22 11:47:05,14918.74,Pending,Flight
46,278,2025-01-10 16:31:57,10941.52,Confirmed,Bus
47,187,2026-03-05 22:34:50,15052.88,Confirmed,Flight
48,145,2024-11-26 14:55:13,4659.04,Completed,Flight
49,99,2024-04-11 01:09:30,219877.02,Cancelled,Hotel
50,132,2024-02-20 13:20:18,5225.58,Confirmed,Hotel
51,41,2025-04-24 23:15:44,48328.2,Confirmed,Flight
52,137,2025-06-25 01:28:48,3300.42,Confirmed,Train
53,292,2025-10-02 06:30:48,11078.68,Refunded,Bus
54,296,2025-01-01 16:42:05,4657.86,Cancelled,Train
55,282,2025-02-15 18:22:31,166792.86,Completed,Hotel
56,282,2024-11-28 13:32:02,4806.92,Cancelled,Bus
57,166,2025-09-15 08:45:51,42721.77,Refunded,Flight
58,204,2024-01-01 01:15:43,177332.7,Completed,Hotel
59,142,2025-07-20 18:36:53,251456.4,Refunded,Hotel
60,299,2024-09-12 08:28:59,1091.11,Completed,Train
61,248,2024-06-26 17:46:39,111741.12,Confirmed,Hotel
62,223,2025-03-02 04:23:19,418.14,Confirmed,Bus
63,290,2024-06-02 11:53:58,5471.34,Refunded,Bus
64,202,2025-04-01 21:40:05,64004.68,Refunded,Flight
65,68,2024-12-10 03:00:19,62581.35,Pending,Hotel
66,135,2024-03-28 14:30:35,393267.96,Refunded,Hotel
67,101,2025-07-28 22:25:39,11037.39,Refunded,Flight
68,295,2024-04-01 04:05:49,10451.16,Cancelled,Hotel
69,227,2025-09-30 05:18:32,14601.26,Pending,Flight
70,125,2025-09-27 05:22:36,16435.3,Completed,Flight
71,280,2025-06-19 09:25:02,55605.99,Refunded,Hotel
72,10,2025-01-20 21:13:35,9080.6,Refunded,Flight
73,35,2025-02-01 09:52:41,2347.84,Completed,Train
74,51,2026-07-14 11:29:07,10252.3,Pending,Train
75,21,2024-09-10 19:16:31,18673.32,Completed,Flight
76,257,2024-10-09 02:15:27,1152.97,Completed,Train
77,196,2025-06-17 22:17:54,97516.2,Confirmed,Hotel
78,169,2025-04-04 19:44:31,5141.18,Confirmed,Flight
79,269,2026-07-20 04:55:27,1319.08,Cancelled,CarRental
80,75,2025-11-02 20:33:55,5133.7,Confirmed,Flight
81,211,2024-11-06 16:07:45,18963.98,Completed,Flight
82,184,2024-03-22 17:21:09,15676.74,Confirmed,Hotel
83,84,2024-07-16 08:14:18,14481.82,Confirmed,Hotel
84,104,2026-02-14 07:26:52,29027.12,Confirmed,Flight
85,127,2025-03-13 14:44:26,18952.0,Confirmed,Hotel
86,293,2025-08-31 19:31:15,268090.35,Refunded,Hotel
87,203,2026-01-22 01:25:44,167333.58,Refunded,Hotel
88,204,2026-06-24 11:05:18,125162.7,Completed,Hotel
89,73,2025-04-19 23:31:25,11375.67,Pending,Flight
90,231,2024-01-26 06:30:45,50998.2,Pending,Hotel
91,233,2024-04-02 09:06:18,3868.94,Completed,Bus
92,82,2025-01-22 20:02:14,14514.96,Cancelled,Flight
93,290,2026-06-11 05:27:52,6101.78,Confirmed,Train
94,93,2024-04-30 04:47:25,28585.23,Confirmed,Flight
95,122,2024-08-10 21:26:23,85306.44,Pending,Hotel
96,286,2026-04-19 07:33:35,10512.22,Confirmed,Flight
97,146,2025-09-17 21:39:43,72559.76,Refunded,Flight
98,19,2024-04-05 10:53:49,11690.68,Completed,Flight
99,150,2025-04-27 04:53:55,9151.62,Confirmed,Bus
100,293,2026-01-17 22:54:01,10074.31,Refunded,CarRental
101,148,2025-03-13 22:10:02,36655.17,Completed,Flight
102,93,2026-06-23 22:11:16,1724.96,Confirmed,Bus
103,212,2024-02-16 12:09:10,21892.26,Completed,Hotel
104,131,2026-03-20 02:28:11,49144.83,Completed,Flight
105,90,2024-07-17 12:02:01,10101.28,Completed,Train
106,275,2026-07-06 12:12:03,5929.84,Pending,Bus
107,29,2026-05-05 18:58:18,27420.06,Completed,Hotel
108,77,2024-10-14 01:08:05,2078.1,Completed,CarRental
109,200,2024-07-10 21:40:12,11040.45,Confirmed,Train
110,191,2025-04-07 11:01:06,55363.74,Confirmed,Hotel
111,48,2025-03-30 18:25:21,1724.96,Confirmed,Bus
112,269,2024-11-13 11:55:04,2317.96,Confirmed,Bus
113,268,2024-04-28 00:08:58,2481.25,Completed,CarRental
114,267,2026-02-23 23:59:34,19656.03,Completed,Flight
115,77,2024-06-10 09:57:46,17436.56,Confirmed,Flight
116,146,2025-08-10 08:54:49,53413.8,Confirmed,Flight
117,229,2025-09-23 12:56:52,34277.22,Completed,Flight
118,68,2024-04-05 17:02:57,231054.12,Confirmed,Hotel
119,133,2025-01-07 14:16:30,6073.77,Confirmed,Bus
120,88,2024-10-16 12:41:33,39932.2,Confirmed,Hotel
121,281,2024-06-11 17:33:45,8239.0,Cancelled,Flight
122,221,2026-03-14 15:51:02,32190.64,Completed,Hotel
123,294,2026-05-06 17:43:03,111195.24,Confirmed,Hotel
124,195,2024-12-01 17:59:48,21861.72,Confirmed,Flight
125,76,2025-11-07 05:25:58,31569.2,Pending,Hotel
126,229,2024-07-19 07:29:16,9556.02,Completed,Flight
127,262,2025-02-17 04:38:38,18266.84,Completed,Flight
128,57,2026-05-31 10:16:29,46131.6,Confirmed,Flight
129,89,2025-05-01 05:03:48,20953.94,Confirmed,Hotel
130,65,2024-05-17 00:25:20,71231.25,Confirmed,Hotel
131,213,2026-05-30 16:36:12,59823.36,Cancelled,Hotel
132,283,2026-04-19 16:23:08,13676.7,Cancelled,Flight
133,4,2025-08-14 18:08:14,3605.19,Confirmed,Bus
134,189,2024-04-25 21:07:36,6304.16,Pending,CarRental
135,268,2026-06-30 22:12:43,2914.04,Confirmed,Flight
136,28,2026-07-14 12:30:29,6682.16,Refunded,Bus
137,294,2026-01-21 12:04:12,37450.35,Cancelled,Flight
138,19,2025-12-12 21:45:33,6842.91,Completed,Bus
139,14,2024-10-20 17:38:58,11532.9,Confirmed,Flight
140,78,2025-11-05 16:15:43,11744.91,Completed,Train
141,17,2024-12-17 03:04:22,131089.32,Confirmed,Hotel
142,122,2025-11-07 16:01:35,55302.9,Confirmed,Flight
