BusID,Operator,DepartureLocation,ArrivalLocation,DepartureDateTime,ArrivalDateTime,Price,AvailableSeats
1,Parveen Travels,Surat,Goa,2025-09-28 11:54:59,2025-09-28 14:54:59,1651.73,23
2,KPN Travels,Pune,Goa,2025-09-14 22:40:20,2025-09-15 02:40:20,1399.58,31
3,IntrCity SmartBus,Rishikesh,Pune,2025-05-17 05:28:55,2025-05-17 08:28:55,418.14,34
4,IntrCity SmartBus,Lucknow,Udaipur,2024-01-20 12:11:51,2024-01-20 15:11:51,2769.67,19
5,KPN Travels,Hyderabad,Pune,2026-12-21 08:40:17,2026-12-21 14:40:17,3089.38,9
6,Parveen Travels,Shimla,Jaipur,2024-07-09 01:35:54,2024-07-09 05:35:54,1527.21,23
7,Parveen Travels,Surat,Manali,2024-06-22 21:08:42,2024-06-23 00:08:42,730.51,25
8,Orange Tours,Bengaluru,Dehradun,2024-05-07 15:50:14,2024-05-08 01:50:14,1024.8,16
9,Sharma Transport,Kochi,Chandigarh,2025-10-30 11:34:48,2025-10-30 17:34:48,1015.79,12
10,Orange Tours,Chennai,Rishikesh,2024-08-11 05:39:29,2024-08-11 08:39:29,1631.27,20
11,Sharma Transport,Indore,Hyderabad,2026-01-03 07:33:35,2026-01-03 13:33:35,1670.54,7
12,Neeta Travels,Bengaluru,Kolkata,2025-09-15 21:57:56,2025-09-16 00:57:56,2732.39,20
13,Parveen Travels,Chennai,Bengaluru,2025-05-23 12:57:07,2025-05-23 18:57:07,489.51,19
14,KPN Travels,Jaipur,Kolkata,2024-03-04 14:43:24,2024-03-05 02:43:24,1934.47,35
15,Orange Tours,Ahmedabad,Hyderabad,2026-08-04 03:42:37,2026-08-04 15:42:37,696.14,3
16,IntrCity SmartBus,Rishikesh,Ahmedabad,2024-09-24 07:12:49,2024-09-24 19:12:49,1410.88,40
17,SRS Travels,Udaipur,Bengaluru,2025-06-14 02:43:48,2025-06-14 05:43:48,913.59,41
18,VRL Travels,Surat,Chennai,2024-07-07 12:04:16,2024-07-07 15:04:16,3035.5,3
19,VRL Travels,Kolkata,Dehradun,2026-06-06 14:22:53,2026-06-06 20:22:53,1440.78,27
20,Sharma Transport,Kolkata,Lucknow,2025-03-15 06:48:50,2025-03-15 11:48:50,1621.13,9
21,KPN Travels,Mumbai,Amritsar,2025-05-18 23:34:00,2025-05-19 04:34:00,1524.18,35
22,Orange Tours,Nagpur,Mumbai,2024-06-28 10:11:10,2024-06-28 16:11:10,1544.82,41
23,Zingbus,Bhopal,Ahmedabad,2024-02-09 13:55:34,2024-02-10 01:55:34,1717.1,31
24,Sharma Transport,Lucknow,Dehradun,2026-10-25 11:42:33,2026-10-25 17:42:33,862.48,20
25,KPN Travels,Amritsar,Ahmedabad,2024-03-01 10:13:42,2024-03-01 13:13:42,1858.88,37
26,Neeta Travels,Ahmedabad,Kolkata,2024-07-24 09:01:27,2024-07-24 19:01:27,1109.6,3
27,Orange Tours,Rishikesh,Ahmedabad,2026-03-06 12:55:04,2026-03-07 00:55:04,851.89,37
28,Zingbus,Kochi,Manali,2026-01-04 21:32:17,2026-01-05 00:32:17,3050.54,36
29,Sharma Transport,Chennai,Dehradun,2025-01-20 17:55:17,2025-01-21 01:55:17,850.34,2
30,VRL Travels,Bengaluru,Mumbai,2025-04-21 21:54:21,2025-04-22 01:54:21,1850.38,0
31,Orange Tours,Kochi,Amritsar,2025-02-16 04:45:03,2025-02-16 09:45:03,2968.53,20
32,Orange Tours,Mumbai,Delhi,2024-10-29 21:21:28,2024-10-30 07:21:28,2556.94,33
33,SRS Travels,Lucknow,Bengaluru,2026-02-04 14:24:11,2026-02-04 22:24:11,1309.2,20
34,Zingbus,Chennai,Kolkata,2026-06-13 23:16:29,2026-06-14 05:16:29,846.48,35
35,National Travels,Shimla,Amritsar,2025-12-31 08:07:40,2025-12-31 18:07:40,2671.19,24
36,VRL Travels,Goa,Manali,2025-08-26 04:38:11,2025-08-26 08:38:11,3054.05,36
37,Zingbus,Chandigarh,Rishikesh,2024-03-07 06:37:45,2024-03-07 14:37:45,2974.96,39
38,Zingbus,Ahmedabad,Udaipur,2024-08-01 18:03:55,2024-08-01 22:03:55,2474.23,15
39,Zingbus,Lucknow,Kochi,2024-12-09 23:09:46,2024-12-10 02:09:46,1622.9,16
40,SRS Travels,Pune,Ahmedabad,2024-05-18 12:45:38,2024-05-18 17:45:38,2403.18,3
41,KPN Travels,Chandigarh,Surat,2026-05-09 06:03:22,2026-05-09 12:03:22,2863.05,22
42,National Travels,Guwahati,Chandigarh,2024-07-26 17:27:27,2024-07-27 05:27:27,2205.26,43
43,VRL Travels,Ahmedabad,Kolkata,2026-07-13 02:41:01,2026-07-13 14:41:01,1190.49,20
44,IntrCity SmartBus,Jaipur,Hyderabad,2024-05-31 12:26:41,2024-05-31 16:26:41,808.58,4
45,KPN Travels,Guwahati,Bengaluru,2025-11-23 21:37:40,2025-11-24 05:37:40,2357.84,27
46,SRS Travels,Udaipur,Kolkata,2026-06-08 05:43:11,2026-06-08 08:43:11,1293.62,12
47,Neeta Travels,Indore,Shimla,2025-06-27 10:14:59,2025-06-27 15:14:59,623.36,25
48,Zingbus,Dehradun,Guwahati,2026-10-02 05:35:31,2026-10-02 08:35:31,360.87,5
49,VRL Travels,Goa,Varanasi,2026-09-10 07:16:11,2026-09-10 10:16:11,939.82,40
50,IntrCity SmartBus,Goa,Bengaluru,2026-08-27 04:12:19,2026-08-27 09:12:19,1692.19,42
51,IntrCity SmartBus,Jaipur,Bengaluru,2026-03-04 06:43:52,2026-03-04 11:43:52,1402.79,28
52,Neeta Travels,Mumbai,Jaipur,2026-06-19 16:55:56,2026-06-19 21:55:56,2735.67,36
53,Zingbus,Mumbai,Chennai,2024-07-17 03:07:13,2024-07-17 13:07:13,2653.31,26
54,IntrCity SmartBus,Rishikesh,Dehradun,2025-04-10 20:09:21,2025-04-10 23:09:21,2682.45,26
55,KPN Travels,Guwahati,Varanasi,2026-08-30 20:51:06,2026-08-31 00:51:06,1201.73,25
56,National Travels,Shimla,Mumbai,2026-10-25 20:47:50,2026-10-26 04:47:50,2280.97,39
57,Neeta Travels,Chennai,Hyderabad,2026-07-08 06:17:39,2026-07-08 10:17:39,2654.11,8
58,Orange Tours,Mumbai,Indore,2024-06-09 15:51:07,2024-06-09 19:51:07,2727.21,16
59,Parveen Travels,Kochi,Manali,2024-05-17 03:10:06,2024-05-17 09:10:06,1482.46,20
60,National Travels,Jaipur,Bhopal,2026-07-27 00:27:00,2026-07-27 12:27:00,2024.59,26
61,National Travels,Hyderabad,Indore,2024-11-02 05:23:44,2024-11-02 13:23:44,2010.63,6
62,Parveen Travels,Hyderabad,Dehradun,2024-07-25 10:24:58,2024-07-25 22:24:58,2858.39,26
63,KPN Travels,Jaipur,Chandigarh,2026-09-21 20:49:36,2026-09-22 04:49:36,456.78,17
64,Zingbus,Chandigarh,Chennai,2026-04-02 01:24:43,2026-04-02 07:24:43,2317.96,3
65,Zingbus,Manali,Nagpur,2025-07-04 13:33:36,2025-07-04 16:33:36,2679.55,19
66,Neeta Travels,Goa,Jaipur,2026-10-03 03:34:33,2026-10-03 15:34:33,733.0,28
67,SRS Travels,Rishikesh,Kochi,2025-07-05 15:10:27,2025-07-05 23:10:27,885.62,13
68,Zingbus,Indore,Manali,2026-09-19 18:48:18,2026-09-20 06:48:18,2689.9,32
69,Orange Tours,Kolkata,Bengaluru,2025-09-29 18:27:06,2025-09-30 00:27:06,2574.47,33
70,Neeta Travels,Dehradun,Delhi,2024-12-21 07:01:05,2024-12-21 19:01:05,2735.38,15
71,Neeta Travels,Mumbai,Surat,2024-04-13 13:07:15,2024-04-13 23:07:15,1130.84,29
72,Zingbus,Bhopal,Chandigarh,2024-09-10 01:06:45,2024-09-10 05:06:45,1743.04,28
73,Sharma Transport,Kolkata,Nagpur,2025-12-17 12:32:01,2025-12-17 16:32:01,2484.54,44
74,Orange Tours,Bengaluru,Goa,2024-02-26 14:04:27,2024-02-26 17:04:27,2783.39,13
75,IntrCity SmartBus,Ahmedabad,Udaipur,2025-04-06 07:31:36,2025-04-06 12:31:36,1812.85,43
76,National Travels,Delhi,Nagpur,2024-09-27 23:34:12,2024-09-28 03:34:12,2632.46,14
77,IntrCity SmartBus,Jaipur,Amritsar,2025-09-17 23:24:05,2025-09-18 04:24:05,2902.13,22
78,Parveen Travels,Surat,Jaipur,2025-03-22 16:59:31,2025-03-22 21:59:31,2699.29,25
79,Zingbus,Dehradun,Hyderabad,2024-01-16 18:37:25,2024-01-17 04:37:25,1950.15,38
80,SRS Travels,Amritsar,Goa,2025-09-03 03:56:09,2025-09-03 09:56:09,1308.41,17
