CarRentalBookingID,BookingID,CarRentalID
1,9,2
2,14,32
3,79,70
4,100,54
5,108,13
6,113,19
7,134,42
8,146,19
9,157,41
10,195,12
11,216,27
12,226,53
13,266,55
14,293,50
15,297,18
16,305,9
17,310,39
18,333,50
19,336,27
20,347,58
21,356,4
22,367,16
23,386,54
24,390,67
25,401,6
26,408,41
27,431,51
28,449,4
29,457,39
30,461,17
31,469,27
32,479,44
33,490,2
34,496,31
35,515,32
36,537,5
37,539,25
38,545,38
39,549,1
40,557,5
41,566,68
42,575,33
43,578,22
44,601,9
45,655,14
46,679,51
47,683,30
48,685,58
49,699,35
50,708,10
51,712,42
52,721,20
53,722,50
54,731,20
55,758,39
56,771,13
57,791,66
58,807,53
59,809,65
60,836,69
61,841,27
62,873,2
63,879,59
64,886,17
