CouponID,Code,DiscountPercent,MinimumOrderValue,ExpiryDate,BookingID
1,FLY80,12,5000,2025-12-13,4
2,SAVE36,10,1000,2024-10-21,11
3,NEW97,30,1000,2025-09-28,14
4,NEW84,5,2000,2024-07-05,15
5,WEEKEND90,5,3000,2024-11-27,20
6,FEST51,25,5000,2026-08-28,22
7,FLY23,12,5000,2024-10-08,26
8,FEST46,15,5000,2025-05-11,31
9,NEW60,10,1000,2026-07-26,32
10,SAVE24,25,3000,2024-12-01,34
11,MMT33,5,2000,2025-02-28,35
12,SAVE73,12,3000,2024-09-02,36
13,TRIP24,10,3000,2026-02-24,40
14,WEEKEND66,20,2000,2026-04-24,44
15,WEEKEND47,30,2000,2025-02-09,45
16,NEW34,10,5000,2025-09-02,52
17,STAY27,12,2000,2025-10-29,59
18,TRIP72,15,5000,2024-08-28,66
19,MMT49,10,2000,2024-07-08,68
20,STAY20,5,500,2026-01-13,69
21,SAVE16,15,500,2025-07-07,72
22,WEEKEND81,25,500,2026-09-12,74
23,FEST90,12,1000,2024-12-19,75
24,SAVE87,20,5000,2025-04-21,81
25,MMT41,20,5000,2026-01-04,86
26,STAY60,15,2000,2025-09-25,89
27,WEEKEND91,12,500,2024-05-11,91
28,MMT41,20,2000,2025-01-20,95
29,SAVE52,5,500,2026-05-07,96
30,FLY36,30,5000,2026-12-10,102
31,WEEKEND29,25,3000,2024-08-30,105
32,TRIP46,12,5000,2026-04-25,114
33,WEEKEND96,5,500,2025-08-27,116
34,FLY48,20,3000,2025-03-17,120
35,STAY49,15,500,2026-09-06,123
36,SAVE69,20,500,2024-09-16,134
37,SAVE42,5,500,2025-01-09,139
38,FLY77,5,3000,2026-03-19,148
39,FLY87,10,3000,2024-03-05,149
40,FEST17,12,2000,2026-03-28,151
41,FLY66,25,2000,2024-12-22,152
42,TRIP72,15,500,2024-04-12,158
43,WEEKEND96,30,5000,2024-08-02,160
44,FLY45,10,3000,2025-08-07,164
45,FLY19,10,3000,2024-07-04,172
46,TRIP58,10,500,2025-06-28,173
47,SAVE35,12,1000,2025-12-26,174
48,STAY91,20,1000,2026-08-15,175
49,MMT64,20,3000,2025-12-24,178
50,WEEKEND91,5,500,2024-05-08,181
51,MMT24,15,2000,2025-11-23,183
52,FLY99,10,3000,2024-09-29,188
53,STAY66,12,2000,2025-01-18,193
54,NEW73,30,1000,2025-01-03,194
55,MMT27,25,5000,2026-11-15,196
56,FLY28,10,2000,2025-03-31,201
57,SAVE80,15,500,2024-10-13,203
58,STAY43,12,3000,2026-05-14,204
59,FEST72,15,2000,2024-12-25,209
60,WEEKEND54,12,2000,2026-01-13,211
61,MMT70,5,2000,2024-04-08,213
62,MMT77,10,1000,2025-06-02,215
63,WEEKEND56,25,5000,2024-11-10,216
64,WEEKEND86,25,2000,2026-03-14,218
65,WEEKEND96,12,1000,2024-09-15,219
66,NEW61,25,5000,2026-01-06,220
67,FEST31,20,2000,2025-04-12,234
68,MMT41,30,2000,2024-11-28,242
69,STAY60,15,5000,2025-08-16,257
70,NEW86,12,1000,2027-01-01,258
71,TRIP89,15,1000,2026-04-01,261
72,NEW97,10,3000,2025-11-19,262
73,MMT70,12,1000,2025-09-17,268
74,TRIP46,10,1000,2025-06-13,270
75,SAVE51,30,500,2024-12-25,274
76,FLY12,30,1000,2025-11-03,275
77,NEW70,12,5000,2026-11-15,277
78,FEST69,25,1000,2026-07-04,278
79,WEEKEND32,30,1000,2026-10-08,282
80,FLY11,10,3000,2024-07-10,284
81,TRIP24,30,500,2024-11-19,285
82,STAY99,15,3000,2024-09-04,287
83,NEW73,25,5000,2025-02-25,288
84,STAY32,10,1000,2026-08-06,294
85,SAVE29,30,5000,2025-01-16,297
86,MMT41,30,3000,2024-09-30,301
87,FLY20,12,2000,2026-07-20,303
88,FEST43,25,5000,2024-09-29,310
89,TRIP56,15,500,2026-04-10,313
90,FLY98,10,3000,2026-09-11,317
91,SAVE57,12,2000,2025-12-22,318
92,STAY12,12,1000,2025-11-11,325
93,NEW51,12,3000,2025-11-06,329
94,SAVE93,10,500,2024-10-27,333
95,MMT11,25,1000,2026-01-14,338
96,FEST59,10,500,2025-10-19,339
97,WEEKEND50,5,3000,2025-08-17,346
98,WEEKEND38,5,1000,2026-06-11,360
99,MMT56,5,500,2025-11-26,361
100,SAVE74,20,5000,2024-11-06,373
101,MMT57,10,5000,2025-03-21,379
102,STAY52,20,5000,2025-04-25,381
103,TRIP70,5,2000,2026-09-22,382
104,WEEKEND13,10,1000,2025-09-18,383
105,NEW30,5,1000,2025-02-17,384
106,SAVE85,10,5000,2024-10-17,385
107,SAVE92,15,2000,2025-07-25,387
108,MMT69,5,500,2024-05-21,391
109,FLY27,12,3000,2025-04-09,392
110,STAY31,30,500,2025-07-07,393
111,FLY59,25,2000,2024-06-28,395
112,MMT53,30,1000,2026-03-13,396
113,FEST81,25,1000,2024-11-14,397
114,FEST11,15,1000,2025-05-31,398
115,WEEKEND58,20,1000,2024-12-20,401
116,FEST73,12,1000,2025-11-07,402
117,TRIP97,25,1000,2026-03-02,404
118,TRIP64,10,5000,2025-08-02,407
119,FLY56,15,3000,2025-03-19,408
120,FEST72,15,3000,2024-03-27,412
121,SAVE99,30,1000,2024-02-14,428
122,FEST12,25,2000,2025-09-27,429
123,TRIP24,20,2000,2026-09-15,438
124,NEW22,10,2000,2025-07-04,446
125,FEST85,15,1000,2024-07-17,449
126,WEEKEND45,25,500,2024-10-02,452
127,STAY61,30,500,2025-02-23,453
128,NEW13,20,1000,2026-02-08,462
129,STAY94,10,1000,2024-12-03,466
130,NEW37,12,5000,2025-04-13,475
131,WEEKEND35,5,5000,2025-03-01,477
132,STAY41,12,500,2025-09-23,484
133,TRIP21,30,500,2024-09-05,486
134,SAVE99,10,2000,2025-10-19,496
135,STAY83,10,5000,2025-02-07,498
136,SAVE15,25,1000,2026-07-31,500
137,FEST90,20,2000,2024-11-08,501
138,TRIP45,10,2000,2025-06-03,502
139,WEEKEND33,30,1000,2025-05-27,505
140,STAY11,20,500,2024-08-03,507
141,FLY35,10,3000,2024-08-19,508
142,NEW41,10,1000,2024-07-31,520
143,FLY19,12,5000,2026-06-03,528
144,MMT82,30,3000,2024-12-13,530
145,FEST55,5,500,2025-08-14,538
146,NEW65,10,3000,2025-05-29,544
147,NEW77,10,2000,2025-02-05,548
148,FLY54,30,3000,2026-09-29,559
149,FEST52,10,5000,2026-03-05,561
150,FLY37,25,2000,2025-03-08,579
151,TRIP77,10,500,2026-02-25,580
152,MMT78,20,500,2024-12-21,583
153,MMT98,30,500,2024-07-30,586
154,WEEKEND59,10,3000,2026-01-10,591
155,FEST91,12,5000,2025-04-08,599
156,SAVE39,20,5000,2025-05-14,602
157,FLY16,15,2000,2025-01-27,611
158,FEST84,10,1000,2025-07-07,614
159,STAY48,25,2000,2026-07-19,621
160,MMT33,10,1000,2024-08-23,624
161,WEEKEND57,25,2000,2025-11-14,625
162,FEST12,10,2000,2024-08-16,640
163,TRIP62,25,5000,2025-01-07,649
164,TRIP73,25,2000,2025-11-25,651
165,SAVE45,20,3000,2024-09-15,655
166,TRIP36,12,5000,2025-08-05,667
167,FEST75,25,5000,2024-08-16,669
168,WEEKEND50,12,1000,2025-12-19,671
169,TRIP47,5,2000,2025-11-10,678
170,MMT91,25,500,2026-05-25,690
171,SAVE88,15,5000,2024-04-30,692
172,MMT14,30,500,2026-08-11,702
173,MMT39,25,1000,2024-07-10,703
174,WEEKEND35,5,2000,2024-10-05,706
175,WEEKEND76,25,5000,2024-07-29,710
176,NEW10,12,1000,2026-05-27,711
177,STAY31,20,3000,2026-03-06,716
178,TRIP10,20,2000,2026-01-03,727
179,SAVE90,5,5000,2025-11-26,728
180,FLY63,30,500,2026-05-19,730
181,TRIP98,20,3000,2024-12-28,733
182,NEW38,30,1000,2026-05-05,736
183,FLY63,15,2000,2025-11-15,743
184,WEEKEND80,25,3000,2025-04-27,747
185,NEW78,30,3000,2025-07-23,757
186,FEST42,15,2000,2025-09-30,759
187,FEST14,10,5000,2026-03-09,763
188,FLY65,5,1000,2025-04-11,764
189,WEEKEND37,30,3000,2026-02-25,765
190,STAY89,12,5000,2025-07-01,772
191,NEW84,25,3000,2025-03-20,776
192,MMT56,15,5000,2026-04-22,784
193,FLY44,20,5000,2026-10-10,795
194,FLY26,20,2000,2024-10-18,797
195,NEW96,12,500,2025-06-09,803
196,STAY51,20,3000,2026-05-17,806
197,FEST71,25,5000,2026-03-18,811
198,SAVE78,12,3000,2026-03-12,812
199,TRIP81,5,3000,2025-07-23,813
200,FLY83,15,5000,2026-03-01,818
201,FLY21,10,5000,2025-05-11,827
202,NEW61,30,500,2024-07-18,829
203,STAY27,25,3000,2026-06-08,831
204,STAY95,10,2000,2026-01-22,832
205,FEST88,25,500,2025-05-11,837
206,FEST53,10,2000,2025-05-11,843
207,STAY22,10,3000,2026-04-13,844
208,SAVE38,20,500,2024-06-24,856
209,SAVE42,25,5000,2024-11-24,857
210,MMT68,30,2000,2026-03-11,862
211,TRIP50,30,2000,2026-05-08,864
212,STAY95,12,500,2026-02-17,868
213,MMT81,15,5000,2025-06-08,875
214,FLY45,20,2000,2026-10-14,876
215,NEW35,10,2000,2024-06-23,883
216,WEEKEND34,20,1000,2026-05-11,888
217,MMT15,15,1000,2024-06-12,897
