FlightBookingID,BookingID,FlightID,Passengers
1,1,70,1
2,2,76,1
3,3,42,1
4,5,8,2
5,6,81,1
6,10,75,4
7,11,141,2
8,15,149,1
9,19,33,3
10,25,38,1
11,26,149,4
12,30,40,3
13,33,131,4
14,35,33,1
15,36,67,2
16,37,44,4
17,40,98,4
18,42,56,1
19,43,9,2
20,44,116,4
21,45,62,2
22,47,36,1
23,48,10,1
24,51,81,4
25,57,100,3
26,64,144,4
27,67,55,1
28,69,139,2
29,70,35,1
30,72,33,2
31,75,87,4
32,78,121,2
33,80,118,1
34,81,112,2
35,84,15,4
36,89,83,1
37,92,2,2
38,94,71,3
39,96,3,1
40,97,98,4
41,98,37,4
42,101,110,3
43,104,46,3
44,114,107,3
45,115,140,1
46,116,91,3
47,117,53,2
48,121,52,2
49,124,133,2
50,126,146,3
51,127,127,1
52,128,86,4
53,132,102,2
54,135,39,1
55,137,13,3
56,139,86,1
57,142,73,3
58,147,96,4
59,149,103,2
60,151,124,1
61,152,96,4
62,156,146,3
63,160,40,1
64,163,84,4
65,165,133,4
66,166,150,3
67,171,97,4
68,173,112,1
69,182,72,4
70,188,112,2
71,197,21,2
72,200,17,3
73,202,117,4
74,205,91,3
75,206,11,1
76,207,65,3
77,213,23,4
78,219,63,4
79,221,41,4
80,227,34,3
81,230,83,3
82,232,112,2
83,235,18,1
84,236,138,4
85,237,32,4
86,240,10,2
87,241,109,1
88,242,97,2
89,243,126,3
90,244,37,1
91,245,23,1
92,246,142,1
93,247,113,2
94,250,100,4
95,251,133,4
96,252,59,2
97,256,138,2
98,257,90,3
99,258,81,2
100,259,106,4
101,260,85,2
102,261,3,2
103,262,15,4
104,263,111,1
105,265,5,4
106,267,123,2
107,268,147,2
108,269,127,3
109,270,150,2
110,272,104,1
111,274,50,2
112,275,8,3
113,277,107,1
114,279,93,4
115,281,89,4
116,282,74,1
117,283,32,4
118,288,96,1
119,290,128,3
120,292,48,3
121,295,40,2
122,301,132,2
123,304,142,1
124,308,67,3
125,309,141,3
126,314,72,1
127,315,122,4
128,318,139,3
129,319,3,4
130,326,36,3
131,328,24,1
132,329,94,1
133,332,140,4
134,337,39,3
135,341,117,4
136,348,117,1
137,349,133,3
138,351,70,4
139,352,112,4
140,355,1,4
141,359,128,4
142,362,127,1
143,363,31,3
144,364,66,3
145,365,1,2
146,368,27,4
147,370,103,2
148,373,52,2
149,374,150,1
150,377,73,2
151,381,117,1
152,382,95,4
153,383,103,1
154,395,86,1
155,396,48,2
156,398,131,1
157,402,95,4
158,403,20,1
159,406,23,2
160,411,62,3
161,414,106,4
162,416,123,4
163,418,62,4
164,423,16,4
165,424,76,1
166,430,75,4
167,435,131,3
168,438,71,3
169,439,84,4
170,440,54,1
171,441,147,1
172,445,150,4
173,448,124,1
174,450,22,4
175,451,113,4
176,453,10,2
177,455,32,2
178,459,12,2
179,460,18,3
180,464,1,2
181,466,70,4
182,468,122,4
183,475,114,2
184,476,149,1
185,477,79,2
186,478,90,4
187,480,107,4
188,488,138,3
189,493,103,3
190,494,13,4
191,502,118,1
192,504,105,2
193,505,118,4
194,508,104,1
195,509,88,2
196,510,87,4
197,512,34,3
198,514,116,4
199,517,20,2
200,519,128,2
201,521,80,1
202,522,112,3
203,524,16,2
204,527,41,2
205,528,79,3
206,529,132,1
207,536,83,4
208,538,28,3
209,540,18,3
210,543,56,2
211,546,13,1
212,547,83,2
213,548,79,1
214,551,144,3
215,553,69,2
216,554,112,3
217,555,100,4
218,558,28,4
219,559,95,4
220,563,64,2
221,565,40,4
222,568,30,1
223,571,112,3
224,573,94,2
225,579,50,3
226,580,28,3
227,583,30,1
228,584,18,3
229,586,100,1
230,587,33,3
231,590,107,3
232,593,41,4
233,595,86,4
234,598,87,1
235,599,134,3
236,600,65,1
237,604,30,1
238,606,38,4
239,611,116,3
240,613,77,1
241,620,31,1
242,622,127,1
243,624,149,4
244,626,119,4
245,627,39,3
246,628,72,2
247,630,115,4
248,631,32,3
249,634,30,1
250,640,88,1
251,643,89,3
252,645,50,1
253,647,44,1
254,650,99,2
255,653,60,2
256,654,107,3
257,656,72,4
258,657,134,3
259,660,10,4
260,664,28,3
261,665,43,1
262,666,8,3
263,667,150,1
264,668,102,3
265,669,136,2
266,672,138,3
267,673,77,1
268,675,103,4
269,676,60,1
270,677,131,1
271,682,57,3
272,687,35,3
273,688,29,2
274,694,99,3
275,698,89,1
276,700,18,3
277,705,91,4
278,710,94,4
279,713,87,1
280,717,11,1
281,718,148,1
282,724,56,3
283,726,100,3
284,730,52,2
285,734,142,1
286,736,21,3
287,737,70,3
288,738,89,4
289,739,14,3
290,741,46,4
291,744,31,2
292,745,100,3
293,747,149,3
294,750,60,4
295,752,68,3
296,759,97,4
297,760,131,4
298,764,31,3
299,767,78,4
300,773,31,2
301,780,81,1
302,785,20,3
303,786,76,2
304,787,27,4
305,788,113,3
306,789,32,2
307,793,113,2
308,795,60,1
309,797,111,3
310,806,94,4
311,808,110,4
312,812,98,4
313,813,91,4
314,814,18,1
315,815,47,4
316,817,2,4
317,820,147,3
318,822,78,2
319,828,120,2
320,831,45,2
321,832,146,4
322,834,23,4
323,835,141,1
324,838,74,2
325,839,101,3
326,842,18,4
327,844,133,3
328,845,35,3
329,847,29,3
330,848,90,2
331,849,7,4
332,851,149,4
333,856,30,4
334,858,88,1
335,859,113,4
336,861,121,4
337,866,56,3
338,868,2,2
339,869,75,3
340,872,104,2
341,883,132,4
342,887,11,1
343,888,91,2
344,890,25,4
