PaymentID,BookingID,PaymentType,PaymentDate,PaymentAmount
1,1,Debit Card,2025-02-14,8239.81
2,2,Wallet,2024-07-26,3952.2
3,3,Debit Card,2025-09-21,14315.92
4,5,UPI,2024-12-22,25416.12
5,6,Wallet,2024-03-15,12082.05
6,8,Credit Card,2025-11-28,31235.28
7,10,EMI,2025-12-18,41067.12
8,11,UPI,2024-08-11,11898.6
9,12,Wallet,2024-06-08,14720.6
10,13,Net Banking,2025-05-19,28608.57
11,16,Net Banking,2025-09-19,14024.41
12,17,UPI,2025-12-18,8573.43
13,18,UPI,2026-04-13,2353.3
14,20,Debit Card,2024-09-13,82631.97
15,21,Net Banking,2025-01-04,16971.98
16,22,EMI,2026-06-07,393267.96
17,23,UPI,2025-04-20,7043.52
18,24,Net Banking,2024-08-21,167952.96
19,25,Debit Card,2025-04-06,5171.13
20,26,Wallet,2024-06-19,18508.12
21,28,UPI,2024-01-30,2204.79
22,30,UPI,2025-06-21,33154.2
23,31,Net Banking,2025-03-28,32190.64
24,32,Wallet,2026-02-23,10170.64
25,33,EMI,2026-04-28,64711.68
26,34,Debit Card,2024-10-19,16041.08
27,36,Credit Card,2024-05-08,35586.8
28,37,Credit Card,2024-12-04,27953.56
29,39,UPI,2024-07-22,8197.12
30,40,EMI,2026-02-01,72559.76
31,41,Debit Card,2024-01-16,18280.04
32,42,Debit Card,2025-12-05,18257.66
33,43,EMI,2026-02-16,34035.02
34,44,Net Banking,2026-04-04,25390.6
35,46,EMI,2025-01-10,10941.52
36,47,EMI,2026-03-05,15052.88
37,48,Credit Card,2024-11-26,4659.04
38,50,Credit Card,2024-02-20,5225.58
39,51,Net Banking,2025-04-25,48328.2
40,52,Debit Card,2025-06-25,3300.42
41,53,EMI,2025-10-02,11078.68
42,55,Wallet,2025-02-15,166792.86
43,57,Net Banking,2025-09-15,42721.77
44,58,Debit Card,2024-01-01,177332.7
45,59,Debit Card,2025-07-20,251456.4
46,60,Wallet,2024-09-12,1091.11
47,61,Credit Card,2024-06-26,111741.12
48,62,EMI,2025-03-02,418.14
49,63,Credit Card,2024-06-02,5471.34
50,64,Net Banking,2025-04-01,64004.68
51,66,Debit Card,2024-03-28,393267.96
52,67,Net Banking,2025-07-29,11037.39
53,70,Net Banking,2025-09-27,16435.3
54,71,Debit Card,2025-06-19,55605.99
55,72,Credit Card,2025-01-20,9080.6
56,73,Net Banking,2025-02-01,2347.84
57,75,EMI,2024-09-10,18673.32
58,76,Wallet,2024-10-09,1152.97
59,77,Debit Card,2025-06-17,97516.2
60,78,Wallet,2025-04-04,5141.18
61,80,Debit Card,2025-11-02,5133.7
62,81,Credit Card,2024-11-06,18963.98
63,82,UPI,2024-03-22,15676.74
64,83,Net Banking,2024-07-16,14481.82
65,84,Wallet,2026-02-14,29027.12
66,85,EMI,2025-03-13,18952.0
67,86,Credit Card,2025-08-31,268090.35
68,87,Credit Card,2026-01-22,167333.58
69,88,Net Banking,2026-06-24,125162.7
70,91,EMI,2024-04-02,3868.94
71,93,EMI,2026-06-11,6101.78
72,94,Credit Card,2024-04-30,28585.23
73,96,EMI,2026-04-19,10512.22
74,97,EMI,2025-09-17,72559.76
75,98,Credit Card,2024-04-05,11690.68
76,99,Net Banking,2025-04-27,9151.62
77,100,UPI,2026-01-18,10074.31
78,101,Debit Card,2025-03-13,36655.17
79,102,Credit Card,2026-06-23,1724.96
80,103,Debit Card,2024-02-16,21892.26
81,104,Credit Card,2026-03-20,49144.83
82,105,UPI,2024-07-17,10101.28
83,107,Net Banking,2026-05-05,27420.06
84,108,EMI,2024-10-14,2078.1
85,109,EMI,2024-07-10,11040.45
86,110,Credit Card,2025-04-07,55363.74
87,111,Debit Card,2025-03-30,1724.96
88,112,Wallet,2024-11-13,2317.96
89,113,EMI,2024-04-28,2481.25
90,114,EMI,2026-02-24,19656.03
91,115,Debit Card,2024-06-10,17436.56
92,116,Wallet,2025-08-10,53413.8
93,117,EMI,2025-09-23,34277.22
94,118,EMI,2024-04-05,231054.12
95,119,Net Banking,2025-01-07,6073.77
96,120,EMI,2024-10-16,39932.2
97,122,Debit Card,2026-03-14,32190.64
98,123,Net Banking,2026-05-06,111195.24
99,124,Wallet,2024-12-01,21861.72
100,126,UPI,2024-07-19,9556.02
101,127,Credit Card,2025-02-17,18266.84
102,128,EMI,2026-05-31,46131.6
103,129,UPI,2025-05-01,20953.94
104,130,EMI,2024-05-17,71231.25
105,133,UPI,2025-08-14,3605.19
106,135,EMI,2026-06-30,2914.04
107,136,UPI,2026-07-14,6682.16
108,138,Credit Card,2025-12-12,6842.91
109,139,Net Banking,2024-10-20,11532.9
110,140,EMI,2025-11-05,11744.91
111,141,UPI,2024-12-17,131089.32
112,142,Credit Card,2025-11-07,55302.9
113,146,UPI,2024-04-09,2481.25
114,147,UPI,2024-10-03,57106.08
115,148,Credit Card,2025-11-24,55605.99
116,149,Wallet,2024-01-25,10685.66
117,150,Net Banking,2026-04-02,6031.89
118,151,Net Banking,2025-12-09,3844.62
119,153,UPI,2024-02-05,11483.2
120,154,Credit Card,2024-09-29,21590.75
121,155,UPI,2025-03-22,18189.44
122,156,Credit Card,2025-02-14,9556.02
123,157,EMI,2024-06-29,6634.96
124,160,UPI,2024-02-07,11051.4
125,161,Credit Card,2025-05-16,278607.78
126,162,Credit Card,2025-04-12,631.09
127,164,Credit Card,2025-07-12,7661.36
128,165,Debit Card,2025-08-18,43723.44
129,166,Wallet,2025-03-02,26008.23
130,168,Credit Card,2024-12-22,49802.4
131,171,Net Banking,2024-02-26,15332.92
132,172,Debit Card,2024-02-14,1027.18
133,173,Net Banking,2025-03-05,9481.99
134,174,UPI,2025-09-16,38893.71
135,176,UPI,2025-07-20,44545.5
136,178,UPI,2025-08-16,4422.59
137,179,Debit Card,2024-09-03,11452.2
138,180,Debit Card,2025-10-25,7062.04
139,182,Net Banking,2026-07-03,71567.12
140,183,EMI,2025-08-12,3975.2
141,184,Debit Card,2025-12-22,4635.92
142,185,Net Banking,2025-10-26,5379.8
143,187,EMI,2025-11-25,32618.08
144,188,Net Banking,2024-07-11,18963.98
145,189,UPI,2025-03-02,10451.16
146,191,UPI,2025-05-12,15239.92
147,192,Credit Card,2024-06-24,49306.08
148,193,Debit Card,2024-10-19,6172.18
149,194,Wallet,2024-12-18,5741.6
150,195,Net Banking,2024-06-08,1601.94
151,196,Net Banking,2026-07-06,6972.16
152,197,Wallet,2025-04-01,26449.44
153,198,EMI,2024-07-19,254660.16
154,199,Credit Card,2024-07-18,213662.25
155,200,UPI,2025-01-16,24293.4
156,202,Credit Card,2026-06-07,54465.08
157,204,UPI,2026-05-04,73959.12
158,205,UPI,2025-05-18,53413.8
159,206,Net Banking,2025-10-05,6238.22
160,207,Credit Card,2024-06-16,51780.15
161,208,Wallet,2025-06-10,5398.58
162,209,Debit Card,2024-10-04,49306.08
163,210,Wallet,2024-04-14,16153.65
164,211,Credit Card,2025-12-30,108621.48
165,212,Debit Card,2024-06-25,2727.21
166,213,UPI,2024-03-21,33698.08
167,214,Debit Card,2026-03-12,5741.6
168,215,Wallet,2024-12-26,3700.76
169,216,Credit Card,2024-06-24,10644.53
170,217,Credit Card,2025-01-23,23420.38
171,218,Net Banking,2025-12-22,2679.55
172,220,EMI,2025-11-21,73959.12
173,221,Credit Card,2024-03-07,59710.88
174,222,Net Banking,2026-02-22,11874.12
175,223,Credit Card,2025-06-07,885.62
176,225,UPI,2024-06-05,12142.0
177,226,Credit Card,2025-07-13,2367.57
178,227,EMI,2025-04-15,39087.75
179,228,UPI,2025-08-05,8821.04
180,229,Wallet,2024-02-27,64381.28
181,230,Net Banking,2024-03-03,34127.01
182,231,EMI,2025-03-14,38893.71
183,232,Credit Card,2025-12-05,18963.98
184,234,EMI,2024-11-26,2121.39
185,235,Net Banking,2026-05-10,5892.65
186,236,UPI,2024-04-07,42235.64
187,237,Net Banking,2025-03-19,16027.92
188,238,UPI,2024-07-03,3763.1
189,239,Wallet,2024-10-02,7503.24
190,242,UPI,2024-09-30,7666.46
191,243,Net Banking,2024-07-25,46491.96
192,244,Net Banking,2026-01-09,2922.67
193,245,Wallet,2025-02-10,8424.52
194,246,Net Banking,2024-09-14,12659.62
195,247,Net Banking,2025-03-09,21895.12
196,248,Net Banking,2025-05-17,2653.31
197,249,Net Banking,2026-06-19,64381.28
198,250,Net Banking,2026-05-11,56962.36
199,252,UPI,2024-11-04,36099.58
200,253,UPI,2026-03-19,16041.08
201,254,Net Banking,2026-06-16,456.78
202,255,EMI,2025-04-09,8203.78
203,256,Wallet,2025-08-12,21117.82
204,257,Net Banking,2025-05-04,23924.64
205,259,UPI,2025-01-11,29898.84
206,263,Credit Card,2026-01-23,13641.63
207,264,UPI,2024-01-06,142462.5
208,265,Net Banking,2024-02-12,57989.88
209,266,UPI,2024-04-29,1333.31
210,267,Net Banking,2025-09-19,30788.98
211,271,Wallet,2026-04-22,27543.99
212,272,UPI,2026-06-27,5235.04
213,273,EMI,2024-06-06,44481.39
214,276,Debit Card,2025-02-01,73959.12
215,277,Net Banking,2026-07-14,6552.01
216,278,EMI,2026-02-13,31614.7
217,279,UPI,2025-05-22,16746.2
218,280,Debit Card,2024-11-03,6073.77
219,281,UPI,2024-03-19,39989.8
220,282,Wallet,2026-04-12,10438.74
221,283,EMI,2024-03-26,16027.92
222,284,UPI,2024-03-21,3471.45
223,285,Net Banking,2024-11-06,5611.16
224,286,EMI,2026-05-29,5225.58
225,287,UPI,2024-07-14,2805.58
226,290,Wallet,2024-08-25,52982.64
227,291,Net Banking,2026-06-29,325864.44
228,292,Wallet,2025-03-24,36310.32
229,294,EMI,2026-03-26,217242.96
230,296,Wallet,2025-01-02,5379.8
231,297,Net Banking,2024-08-17,4282.07
232,299,EMI,2026-04-23,15807.35
233,301,Credit Card,2024-06-07,12317.18
234,302,Debit Card,2026-01-02,12078.42
235,303,Credit Card,2026-07-08,4322.34
236,305,EMI,2026-07-13,2875.71
237,306,Net Banking,2026-06-13,4374.61
238,307,Wallet,2025-04-02,21873.05
239,308,UPI,2026-06-21,53380.2
240,309,Wallet,2025-07-07,17847.9
241,311,EMI,2024-05-06,43445.46
242,312,Net Banking,2025-08-02,6098.6
243,316,UPI,2026-03-08,263337.0
244,317,EMI,2026-04-23,158017.92
245,318,Credit Card,2025-09-08,21901.89
246,319,Credit Card,2024-02-19,42048.88
247,320,EMI,2025-08-02,6484.52
248,323,EMI,2025-11-17,9109.7
249,324,Debit Card,2025-07-29,55363.74
250,327,Credit Card,2025-05-18,35753.58
251,328,Debit Card,2024-10-19,6275.05
252,329,Net Banking,2025-09-21,2885.68
253,330,UPI,2024-02-23,2380.98
254,331,EMI,2025-07-20,180272.16
255,332,UPI,2024-09-09,69746.24
256,333,Wallet,2024-06-21,7632.44
257,334,Net Banking,2025-05-08,13647.44
258,335,Net Banking,2024-10-15,1399.58
259,336,Net Banking,2024-08-04,10644.53
260,338,EMI,2025-09-05,5221.34
261,339,UPI,2025-07-05,6235.89
262,340,Debit Card,2024-08-14,8207.01
263,341,EMI,2024-08-27,54465.08
264,342,Debit Card,2026-06-09,96571.92
265,343,Net Banking,2024-06-28,3486.08
266,344,Credit Card,2025-12-10,12357.52
267,346,EMI,2025-04-22,16153.65
268,348,Credit Card,2024-06-17,13616.27
269,350,Credit Card,2025-06-16,3385.92
270,351,Credit Card,2026-06-30,32959.24
271,354,Credit Card,2025-04-09,108621.48
272,355,EMI,2025-10-14,15702.28
273,356,Net Banking,2025-08-21,6303.53
274,357,Net Banking,2026-03-05,63217.2
275,358,Net Banking,2024-08-31,9315.72
276,359,EMI,2026-03-15,70643.52
277,360,Net Banking,2026-05-22,3975.2
278,361,EMI,2025-09-30,32618.08
279,362,Debit Card,2024-07-18,18266.84
280,363,Credit Card,2024-09-08,20688.18
281,364,EMI,2024-11-08,16908.54
282,365,Debit Card,2026-06-18,7851.14
283,366,Wallet,2025-09-05,5455.55
284,367,UPI,2026-06-12,8417.91
285,368,EMI,2026-03-21,41530.88
286,370,UPI,2025-10-27,10685.66
287,371,Credit Card,2026-05-12,27543.99
288,373,Net Banking,2024-10-06,8239.0
289,374,Wallet,2024-08-21,8669.41
290,375,EMI,2024-11-05,2616.82
291,381,Wallet,2025-03-11,13616.27
292,383,EMI,2025-04-08,5342.83
293,384,Wallet,2024-10-25,65010.8
294,385,EMI,2024-05-13,177332.7
295,386,UPI,2024-10-09,10074.31
296,388,Wallet,2025-02-04,47212.74
297,389,Net Banking,2025-02-06,8749.22
298,391,UPI,2024-03-19,8905.59
299,393,EMI,2025-04-17,108621.48
300,394,Credit Card,2024-10-28,3900.3
301,395,EMI,2024-06-06,11532.9
302,396,Debit Card,2026-02-24,24206.88
303,397,UPI,2024-08-13,1631.27
304,398,Net Banking,2025-02-08,16177.92
305,399,UPI,2024-02-14,49283.64
306,400,EMI,2024-06-24,27420.06
307,401,EMI,2024-12-06,3239.67
308,402,Debit Card,2025-09-23,62782.44
309,403,Wallet,2026-01-26,15750.92
310,404,Net Banking,2026-02-07,12954.45
311,405,Credit Card,2025-06-17,15807.35
312,406,Wallet,2025-10-11,16849.04
313,410,Credit Card,2026-04-19,3234.32
314,412,Debit Card,2024-03-14,2261.68
315,413,Credit Card,2025-01-28,44481.39
316,414,Net Banking,2025-01-29,29898.84
317,415,UPI,2025-12-27,10941.52
318,416,EMI,2025-12-15,61577.96
319,417,UPI,2024-01-13,175558.0
320,420,EMI,2024-04-21,1411.98
321,421,Wallet,2024-01-02,11899.84
322,422,UPI,2024-06-29,4806.36
323,423,UPI,2024-03-01,45241.72
324,424,Wallet,2025-01-21,3952.2
325,425,EMI,2024-01-10,2205.26
326,427,EMI,2025-01-14,1540.77
327,432,Debit Card,2026-01-21,231054.12
328,434,UPI,2026-06-14,2121.39
329,435,UPI,2024-04-18,48533.76
330,436,Credit Card,2026-07-08,2054.36
331,437,EMI,2026-02-23,29654.26
332,438,Credit Card,2026-04-07,28585.23
333,439,UPI,2024-11-14,28860.6
334,440,Wallet,2025-06-16,16848.47
335,441,Wallet,2024-05-30,10875.06
336,443,EMI,2024-03-01,6158.4
337,446,EMI,2025-02-04,3880.86
338,447,Wallet,2026-06-05,14848.5
339,448,EMI,2026-01-23,3844.62
340,449,Debit Card,2024-02-27,6303.53
341,450,Net Banking,2024-09-07,24393.8
342,452,Wallet,2024-04-29,166091.22
343,454,Wallet,2025-07-23,75178.08
344,455,Credit Card,2026-02-10,8013.96
345,456,Credit Card,2024-03-30,1152.97
346,457,Wallet,2024-09-11,7932.59
347,459,Debit Card,2024-08-02,16554.98
348,461,EMI,2025-02-13,2469.25
349,462,UPI,2025-10-11,3242.26
350,463,Net Banking,2025-02-20,31569.2
351,464,UPI,2024-10-07,7851.14
352,465,Wallet,2024-04-07,4863.39
353,466,UPI,2024-11-21,32959.24
354,468,Wallet,2026-03-28,23774.08
355,469,UPI,2024-11-09,10644.53
356,470,Credit Card,2025-08-12,12216.2
357,471,UPI,2025-05-06,1440.78
358,472,EMI,2026-01-01,4049.18
359,473,EMI,2025-12-02,30221.6
360,474,Debit Card,2025-06-10,179132.5
361,477,UPI,2024-11-01,36187.7
362,478,Net Banking,2024-06-09,31899.52
363,479,EMI,2026-04-11,2646.67
364,480,UPI,2024-04-23,26208.04
365,482,Debit Card,2026-02-08,5763.12
366,483,Debit Card,2024-05-09,92880.72
367,484,Debit Card,2025-05-06,56593.72
368,485,EMI,2025-11-13,55597.62
369,486,Debit Card,2024-08-22,84153.72
370,488,EMI,2024-11-07,31676.73
371,489,Debit Card,2024-02-11,1468.53
372,490,Net Banking,2025-03-17,5133.24
373,491,Debit Card,2024-12-05,7422.69
374,492,Credit Card,2026-06-27,73959.12
375,493,Net Banking,2024-07-16,16028.49
376,494,Wallet,2026-01-08,49933.8
377,496,Wallet,2025-05-09,6932.51
378,497,UPI,2025-08-02,6108.84
379,500,Debit Card,2026-05-22,2653.31
380,501,Debit Card,2024-05-16,9476.0
381,502,EMI,2025-02-23,5133.7
382,503,EMI,2025-11-04,5763.12
383,504,Wallet,2024-07-30,18343.12
384,506,Net Banking,2025-08-06,55777.86
385,507,EMI,2024-03-12,111555.72
386,508,Credit Card,2024-05-15,5235.04
387,509,Debit Card,2026-04-15,32057.1
388,510,Debit Card,2024-04-15,18673.32
389,511,Debit Card,2024-08-19,11710.19
390,512,Wallet,2024-03-27,39087.75
391,513,Net Banking,2024-12-22,9147.9
392,514,UPI,2026-06-01,25390.6
393,516,Net Banking,2024-11-26,9162.15
394,517,UPI,2025-09-09,31501.84
395,519,Credit Card,2025-12-20,35321.76
396,520,Net Banking,2024-03-02,5200.6
397,522,Debit Card,2025-05-03,28445.97
398,523,UPI,2025-04-26,1870.08
399,524,Credit Card,2026-03-12,22620.86
400,525,EMI,2025-05-30,110727.48
401,526,Debit Card,2025-08-08,5174.48
402,527,EMI,2025-02-14,29855.44
403,528,EMI,2026-04-27,54281.55
404,529,Credit Card,2024-01-29,6158.59
405,530,Debit Card,2024-07-11,108621.48
406,532,Wallet,2024-05-12,44481.39
407,534,EMI,2025-11-29,3830.68
408,535,Wallet,2026-02-26,84359.52
409,536,Credit Card,2025-04-03,45502.68
410,537,Wallet,2024-08-01,11425.15
411,539,Net Banking,2025-12-28,9865.47
412,541,Net Banking,2025-03-27,8278.2
413,542,Credit Card,2025-04-05,91761.57
414,543,Wallet,2024-01-09,36515.32
415,544,Credit Card,2025-04-22,12730.16
416,545,UPI,2024-03-07,10685.23
417,546,Wallet,2025-04-26,12483.45
418,548,Net Banking,2024-10-03,18093.85
419,549,UPI,2024-06-17,5846.91
420,551,Credit Card,2024-03-20,48003.51
421,552,Net Banking,2026-06-04,11452.2
422,553,UPI,2025-10-11,24177.12
423,554,Credit Card,2025-11-26,28445.97
424,555,Wallet,2025-02-27,56962.36
425,556,Wallet,2025-03-14,14827.13
426,557,Credit Card,2025-10-11,11425.15
427,558,Wallet,2024-04-16,69489.84
428,559,Wallet,2026-05-22,62782.44
429,560,EMI,2024-01-08,84153.72
430,561,Credit Card,2025-11-20,17690.36
431,562,Credit Card,2025-07-23,42144.8
432,563,Credit Card,2025-02-16,25296.2
433,565,Credit Card,2024-11-26,44205.6
434,566,EMI,2025-01-26,2684.19
435,568,Credit Card,2025-10-04,2509.76
436,569,UPI,2024-03-20,1597.14
437,571,Net Banking,2025-11-06,28445.97
438,572,Wallet,2024-06-11,1460.84
439,573,Credit Card,2024-04-27,5771.36
440,574,UPI,2025-12-26,61174.38
441,575,Credit Card,2024-06-26,6565.57
442,577,Debit Card,2026-04-15,65010.8
443,578,Net Banking,2025-04-05,6307.81
444,579,UPI,2024-12-26,28308.63
445,580,Debit Card,2025-12-05,52117.38
446,582,Credit Card,2024-07-21,15292.12
447,583,UPI,2024-08-30,2509.76
448,584,UPI,2026-01-10,17677.95
449,585,Credit Card,2025-05-20,21330.3
450,587,Credit Card,2026-06-23,13620.9
451,588,Debit Card,2024-10-03,47212.74
452,589,Wallet,2025-10-14,55597.62
453,590,EMI,2026-03-02,19656.03
454,591,UPI,2025-11-06,1524.18
455,592,Wallet,2025-06-10,6101.08
456,593,Debit Card,2024-07-26,59710.88
457,594,Credit Card,2024-05-30,4715.68
458,595,Debit Card,2024-09-28,46131.6
459,596,Credit Card,2025-06-04,61174.38
460,597,Net Banking,2024-07-17,128209.5
461,598,Wallet,2024-04-23,4668.33
462,599,UPI,2025-02-05,10159.14
463,600,Debit Card,2026-01-26,17260.05
