TrainBookingID,BookingID,TrainID,Passengers
1,12,60,4
2,17,28,3
3,18,74,5
4,23,12,3
5,28,58,3
6,34,79,4
7,52,62,1
8,54,39,2
9,60,1,1
10,73,12,1
11,74,24,5
12,76,71,1
13,93,40,2
14,105,10,4
15,109,60,3
16,140,61,3
17,154,70,5
18,162,46,1
19,164,5,2
20,172,76,2
21,178,37,1
22,191,36,4
23,193,34,2
24,234,19,1
25,238,55,5
26,239,22,4
27,253,79,4
28,284,72,1
29,306,45,1
30,307,45,5
31,312,49,2
32,334,6,4
33,338,77,2
34,345,26,4
35,358,39,4
36,366,1,5
37,376,34,1
38,380,3,3
39,389,45,2
40,392,14,4
41,404,70,3
42,420,74,3
43,427,76,3
44,434,19,1
45,436,76,4
46,443,42,2
47,456,71,1
48,513,49,3
49,520,52,2
50,534,5,1
51,541,8,3
52,544,4,4
53,550,68,5
54,561,37,4
55,564,39,3
56,569,47,2
57,570,77,2
58,572,68,2
59,582,57,4
60,585,9,5
61,607,56,4
62,609,67,1
63,614,60,3
64,632,19,2
65,633,25,2
66,637,12,3
67,641,46,2
68,644,59,3
69,658,23,3
70,678,68,3
71,693,64,4
72,702,51,3
73,763,56,5
74,765,59,2
75,781,72,3
76,782,66,4
77,783,61,5
78,803,28,5
79,804,46,2
80,819,65,4
81,826,66,4
82,830,56,1
83,837,23,3
84,853,4,1
85,855,69,5
86,870,44,5
87,871,77,3
88,874,62,2
89,876,8,2
90,881,43,1
91,889,33,4
92,894,75,2
93,896,60,5
94,897,34,3
95,899,76,4
