BusBookingID,BookingID,BusID,Passengers
1,38,70,4
2,46,70,4
3,53,4,4
4,56,55,4
5,62,3,1
6,63,52,2
7,91,14,2
8,99,28,3
9,102,24,2
10,106,59,4
11,111,24,2
12,112,64,1
13,119,60,3
14,133,55,3
15,136,11,4
16,138,56,3
17,150,61,3
18,158,53,2
19,169,50,2
20,177,53,2
21,179,41,4
22,181,16,4
23,184,64,2
24,185,68,2
25,196,72,4
26,201,18,4
27,203,27,2
28,208,78,2
29,212,58,1
30,215,30,2
31,218,65,1
32,222,31,4
33,223,67,1
34,224,47,2
35,225,18,4
36,228,42,4
37,248,53,1
38,254,63,1
39,280,60,3
40,285,51,4
41,287,51,2
42,296,68,2
43,298,40,1
44,300,52,4
45,303,19,3
46,320,20,4
47,321,32,2
48,330,43,2
49,335,2,1
50,340,52,3
51,343,72,2
52,344,5,4
53,350,34,4
54,353,63,1
55,375,80,2
56,378,54,4
57,379,42,4
58,391,31,3
59,394,79,2
60,397,10,1
61,407,38,3
62,410,44,4
63,412,71,2
64,415,70,4
65,421,37,4
66,422,40,2
67,425,42,1
68,428,75,2
69,433,25,3
70,444,79,3
71,446,46,3
72,458,65,3
73,462,20,2
74,465,20,3
75,467,24,2
76,470,36,4
77,471,19,1
78,472,60,2
79,482,19,4
80,489,13,3
81,491,38,3
82,497,6,4
83,500,53,1
84,503,19,4
85,516,36,3
86,523,47,3
87,526,46,4
88,552,41,4
89,567,45,1
90,581,77,4
91,591,21,1
92,592,28,2
93,594,45,2
94,605,60,1
95,612,61,2
96,618,39,3
97,635,59,4
98,646,16,1
99,652,30,3
100,661,52,3
101,662,33,1
102,671,34,1
103,674,11,2
104,680,28,2
105,689,32,3
106,695,21,3
107,696,1,1
108,703,65,1
109,706,8,4
110,715,27,3
111,720,43,3
112,725,38,4
113,733,65,1
114,735,37,1
115,743,39,3
116,748,59,1
117,749,33,3
118,751,13,3
119,754,73,1
120,757,31,3
121,761,45,2
122,768,58,2
123,770,67,3
124,772,35,4
125,774,57,4
126,805,69,4
127,810,38,3
128,823,26,3
129,824,64,3
130,840,49,2
131,850,14,3
132,854,61,1
133,864,61,2
134,865,53,2
135,867,27,4
136,880,71,1
137,882,48,2
138,891,33,3
139,895,5,1
