CarRentalID,CarType,PickupLocation,DropOffLocation,PickupDateTime,DropOffDateTime,Price
1,SUV (Innova/Ertiga),Rishikesh,Udaipur,2024-01-19 04:10:36,2024-01-21 04:10:36,5846.91
2,SUV (Innova/Ertiga),Udaipur,Amritsar,2025-05-14 01:27:06,2025-05-16 01:27:06,5133.24
3,SUV (Innova/Ertiga),Hyderabad,Chandigarh,2025-06-09 19:40:09,2025-06-11 19:40:09,1174.23
4,Luxury (Fortuner/Camry),Bhopal,Rishikesh,2026-02-06 18:43:31,2026-02-07 18:43:31,6303.53
5,Hatchback (Swift/i10),Goa,Udaipur,2025-01-29 11:39:44,2025-01-30 11:39:44,11425.15
6,Hatchback (Swift/i10),Kolkata,Rishikesh,2026-12-28 00:16:00,2026-12-30 00:16:00,3239.67
7,Sedan (Dzire/Verna),Udaipur,Rishikesh,2025-03-12 15:26:41,2025-03-12 17:26:41,6869.07
8,Sedan (Dzire/Verna),Shimla,Manali,2026-06-10 23:32:26,2026-06-11 01:32:26,1163.66
9,Hatchback (Swift/i10),Shimla,Kochi,2024-03-18 03:11:11,2024-03-18 05:11:11,2875.71
10,SUV (Innova/Ertiga),Jaipur,Guwahati,2024-05-24 20:56:01,2024-05-25 00:56:01,5424.72
11,Hatchback (Swift/i10),Surat,Udaipur,2026-04-08 15:45:57,2026-04-08 21:45:57,5223.47
12,Self-Drive Compact,Hyderabad,Guwahati,2024-01-13 23:21:12,2024-01-15 23:21:12,1601.94
13,Self-Drive Compact,Manali,Dehradun,2024-04-03 02:38:34,2024-04-03 08:38:34,2078.1
14,Luxury (Fortuner/Camry),Varanasi,Goa,2024-06-26 10:14:59,2024-06-26 22:14:59,5285.76
15,Sedan (Dzire/Verna),Varanasi,Delhi,2026-08-28 05:41:29,2026-08-29 05:41:29,2413.83
16,SUV (Innova/Ertiga),Chandigarh,Guwahati,2025-08-27 23:05:05,2025-08-28 03:05:05,8417.91
17,Self-Drive Compact,Manali,Udaipur,2026-02-03 00:24:21,2026-02-04 00:24:21,2469.25
18,Hatchback (Swift/i10),Mumbai,Delhi,2026-03-18 19:33:25,2026-03-19 19:33:25,4282.07
19,Self-Drive Compact,Manali,Lucknow,2025-03-09 15:01:27,2025-03-11 15:01:27,2481.25
20,Sedan (Dzire/Verna),Kolkata,Ahmedabad,2025-06-01 07:04:30,2025-06-01 09:04:30,8347.85
21,Hatchback (Swift/i10),Dehradun,Mumbai,2026-08-02 23:28:18,2026-08-03 23:28:18,4126.24
22,Self-Drive Compact,Bengaluru,Jaipur,2024-07-20 07:11:15,2024-07-22 07:11:15,6307.81
23,Hatchback (Swift/i10),Kochi,Lucknow,2024-09-19 23:51:54,2024-09-20 03:51:54,4065.02
24,SUV (Innova/Ertiga),Bengaluru,Pune,2025-10-12 17:41:22,2025-10-13 05:41:22,7741.4
25,SUV (Innova/Ertiga),Goa,Shimla,2024-11-08 20:35:28,2024-11-09 20:35:28,9865.47
26,Sedan (Dzire/Verna),Indore,Kolkata,2024-01-10 11:24:13,2024-01-10 15:24:13,8805.41
27,SUV (Innova/Ertiga),Udaipur,Indore,2025-07-20 13:05:18,2025-07-20 17:05:18,10644.53
28,Hatchback (Swift/i10),Surat,Lucknow,2025-09-17 17:43:48,2025-09-18 17:43:48,2851.05
29,Sedan (Dzire/Verna),Amritsar,Bengaluru,2025-07-28 05:05:50,2025-07-29 05:05:50,3821.9
30,Hatchback (Swift/i10),Udaipur,Bengaluru,2024-06-03 00:40:41,2024-06-04 00:40:41,9920.33
31,SUV (Innova/Ertiga),Dehradun,Chandigarh,2025-03-11 01:20:04,2025-03-12 01:20:04,6932.51
32,Sedan (Dzire/Verna),Guwahati,Nagpur,2024-10-31 13:19:08,2024-11-01 01:19:08,10794.96
33,Self-Drive Compact,Dehradun,Manali,2025-08-18 04:52:28,2025-08-18 16:52:28,6565.57
34,Sedan (Dzire/Verna),Chandigarh,Lucknow,2026-10-25 00:23:08,2026-10-27 00:23:08,10312.6
35,Luxury (Fortuner/Camry),Amritsar,Varanasi,2024-12-05 18:43:08,2024-12-05 22:43:08,2667.37
36,Hatchback (Swift/i10),Dehradun,Varanasi,2024-10-26 17:36:13,2024-10-26 23:36:13,3328.89
37,Sedan (Dzire/Verna),Nagpur,Ahmedabad,2024-05-08 09:37:29,2024-05-08 15:37:29,1375.17
38,Luxury (Fortuner/Camry),Pune,Bhopal,2026-01-09 14:07:48,2026-01-10 02:07:48,10685.23
39,Self-Drive Compact,Mumbai,Udaipur,2025-10-25 03:45:29,2025-10-27 03:45:29,7932.59
40,Self-Drive Compact,Jaipur,Manali,2025-06-23 21:04:02,2025-06-24 21:04:02,2829.73
41,Hatchback (Swift/i10),Udaipur,Chandigarh,2026-01-18 21:23:48,2026-01-20 21:23:48,6634.96
42,SUV (Innova/Ertiga),Chandigarh,Ahmedabad,2026-11-23 14:46:34,2026-11-23 20:46:34,6304.16
43,Luxury (Fortuner/Camry),Nagpur,Amritsar,2024-01-14 18:16:16,2024-01-14 22:16:16,2738.22
44,Sedan (Dzire/Verna),Bengaluru,Bhopal,2025-07-29 07:42:03,2025-07-29 11:42:03,2646.67
45,SUV (Innova/Ertiga),Amritsar,Shimla,2024-08-30 08:23:11,2024-08-30 20:23:11,8894.84
46,Self-Drive Compact,Nagpur,Varanasi,2026-09-07 17:26:26,2026-09-07 21:26:26,2689.83
47,Self-Drive Compact,Indore,Delhi,2025-05-14 01:34:15,2025-05-14 05:34:15,7475.06
48,Sedan (Dzire/Verna),Chennai,Udaipur,2026-11-15 01:25:36,2026-11-16 01:25:36,1520.62
49,Self-Drive Compact,Jaipur,Kolkata,2026-11-24 14:45:43,2026-11-25 14:45:43,7977.61
50,Luxury (Fortuner/Camry),Manali,Varanasi,2025-08-03 03:07:19,2025-08-03 07:07:19,7632.44
51,Sedan (Dzire/Verna),Nagpur,Kolkata,2025-03-25 14:57:20,2025-03-26 14:57:20,9720.24
52,SUV (Innova/Ertiga),Rishikesh,Kolkata,2026-11-12 09:37:51,2026-11-12 13:37:51,11138.11
53,Luxury (Fortuner/Camry),Amritsar,Dehradun,2024-05-20 08:22:02,2024-05-20 20:22:02,2367.57
54,Luxury (Fortuner/Camry),Delhi,Pune,2026-12-06 18:21:47,2026-12-08 18:21:47,10074.31
55,Self-Drive Compact,Amritsar,Hyderabad,2024-12-29 17:19:33,2024-12-30 17:19:33,1333.31
56,Sedan (Dzire/Verna),Guwahati,Bhopal,2024-08-28 03:23:34,2024-08-28 15:23:34,10912.03
57,SUV (Innova/Ertiga),Guwahati,Delhi,2026-06-02 19:00:25,2026-06-03 07:00:25,10610.55
58,Luxury (Fortuner/Camry),Shimla,Bhopal,2026-05-28 08:21:19,2026-05-28 20:21:19,4790.75
59,SUV (Innova/Ertiga),Manali,Rishikesh,2024-07-19 15:29:29,2024-07-19 19:29:29,6196.27
60,Luxury (Fortuner/Camry),Ahmedabad,Bengaluru,2025-08-03 21:46:59,2025-08-04 21:46:59,3761.64
61,Hatchback (Swift/i10),Delhi,Shimla,2024-01-15 21:02:37,2024-01-16 21:02:37,6669.36
62,SUV (Innova/Ertiga),Chandigarh,Udaipur,2025-02-24 11:30:05,2025-02-24 23:30:05,2083.07
63,Luxury (Fortuner/Camry),Indore,Udaipur,2025-06-03 09:30:49,2025-06-04 09:30:49,7167.84
64,Self-Drive Compact,Amritsar,Jaipur,2026-03-24 07:24:58,2026-03-24 19:24:58,9600.05
65,Luxury (Fortuner/Camry),Nagpur,Kolkata,2026-01-28 20:21:21,2026-01-29 20:21:21,3716.93
66,Sedan (Dzire/Verna),Goa,Dehradun,2025-12-06 14:29:43,2025-12-08 14:29:43,10390.49
67,Sedan (Dzire/Verna),Varanasi,Hyderabad,2025-04-15 16:15:36,2025-04-17 16:15:36,2013.09
68,Hatchback (Swift/i10),Bhopal,Chandigarh,2025-11-24 20:02:45,2025-11-25 20:02:45,2684.19
69,Self-Drive Compact,Udaipur,Delhi,2024-07-05 05:17:28,2024-07-05 17:17:28,5732.69
70,Self-Drive Compact,Bengaluru,Jaipur,2025-03-30 13:30:06,2025-03-30 15:30:06,1319.08
