HotelBookingID,BookingID,HotelID,NumberOfRooms
1,4,25,3
2,7,97,1
3,8,1,2
4,13,97,3
5,16,9,1
6,20,84,3
7,21,38,2
8,22,60,3
9,24,99,3
10,27,27,1
11,29,6,3
12,31,90,1
13,32,29,1
14,39,16,1
15,41,75,2
16,49,63,3
17,50,17,1
18,55,66,3
19,58,94,3
20,59,96,3
21,61,92,2
22,65,76,1
23,66,60,3
24,68,17,2
25,71,61,3
26,77,45,3
27,82,17,3
28,83,62,1
29,85,12,2
30,86,65,3
31,87,34,3
32,88,76,2
33,90,78,3
34,95,55,2
35,103,13,3
36,107,75,3
37,110,95,1
38,118,54,3
39,120,5,2
40,122,90,1
41,123,66,2
42,125,36,2
43,129,40,2
44,130,57,1
45,131,58,2
46,141,60,1
47,143,51,2
48,144,40,1
49,145,78,2
50,148,61,3
51,153,49,2
52,155,19,1
53,159,37,2
54,161,37,3
55,167,24,1
56,168,98,1
57,170,93,1
58,174,2,1
59,175,36,2
60,176,89,3
61,180,11,2
62,183,73,2
63,186,87,1
64,187,48,2
65,189,17,2
66,190,1,3
67,192,35,2
68,194,49,1
69,198,6,2
70,199,87,3
71,204,35,3
72,209,35,2
73,210,74,1
74,211,93,1
75,214,49,1
76,217,10,2
77,220,35,3
78,229,90,2
79,231,2,1
80,233,76,2
81,249,90,2
82,255,42,1
83,264,57,2
84,271,84,1
85,273,3,3
86,276,35,3
87,278,47,2
88,286,17,1
89,289,88,3
90,291,93,3
91,294,93,2
92,299,47,1
93,302,31,1
94,311,62,3
95,313,58,1
96,316,25,3
97,317,83,2
98,322,92,2
99,323,72,1
100,324,95,1
101,325,18,1
102,327,51,2
103,331,70,2
104,339,85,3
105,342,90,3
106,346,74,1
107,354,93,1
108,357,100,3
109,360,73,2
110,361,48,2
111,369,10,3
112,371,84,1
113,372,77,2
114,384,45,2
115,385,94,3
116,387,59,3
117,388,22,1
118,393,93,1
119,399,53,3
120,400,75,3
121,405,47,1
122,409,55,3
123,413,3,3
124,417,25,2
125,419,34,3
126,426,80,2
127,429,17,3
128,432,54,3
129,437,3,2
130,442,55,1
131,447,89,1
132,452,95,3
133,454,32,3
134,463,36,2
135,473,80,1
136,474,26,2
137,481,85,3
138,483,30,3
139,484,43,2
140,485,66,1
141,486,59,2
142,487,43,3
143,492,35,3
144,495,30,1
145,498,44,2
146,499,8,3
147,501,12,1
148,506,34,1
149,507,34,2
150,511,10,1
151,518,8,3
152,525,95,2
153,530,93,1
154,531,84,2
155,532,3,3
156,533,96,1
157,535,81,3
158,542,50,3
159,556,3,1
160,560,59,2
161,562,100,2
162,574,50,2
163,576,61,2
164,577,45,2
165,588,22,1
166,589,66,1
167,596,50,2
168,597,23,3
169,602,25,1
170,603,39,2
171,608,57,2
172,610,48,3
173,615,22,2
174,616,70,2
175,617,64,2
176,619,83,1
177,621,30,3
178,623,95,1
179,625,33,2
180,629,81,2
181,636,22,3
182,638,82,2
183,639,55,2
184,642,83,1
185,648,42,2
186,649,94,1
187,651,73,3
188,659,70,3
189,663,76,2
190,670,74,1
191,681,2,2
192,684,64,3
193,686,3,3
194,690,52,3
195,691,65,1
196,692,93,3
197,697,30,2
198,701,47,2
199,704,4,1
200,707,2,1
201,709,18,1
202,711,64,3
203,714,86,3
204,716,96,2
205,719,17,2
206,723,100,2
207,727,49,1
208,728,58,3
209,729,50,2
210,732,49,3
211,740,8,2
212,742,58,3
213,746,63,3
214,753,80,2
215,755,23,2
216,756,80,3
217,762,73,2
218,766,76,1
219,769,36,2
220,775,25,3
221,776,42,2
222,777,86,1
223,778,65,2
224,779,88,3
225,784,51,3
226,790,58,2
227,792,97,2
228,794,5,3
229,796,59,3
230,798,71,1
231,799,63,2
232,800,7,3
233,801,10,3
234,802,22,3
235,811,46,2
236,816,64,2
237,818,37,3
238,821,68,1
239,825,50,2
240,827,77,1
241,829,11,3
242,833,81,2
243,843,75,2
244,846,22,3
245,852,2,1
246,857,14,3
247,860,46,1
248,862,95,1
249,863,35,3
250,875,17,2
251,877,6,1
252,878,8,3
253,884,92,1
254,885,58,1
255,892,96,1
256,893,50,2
257,898,48,2
258,900,9,1
