TrainID,Operator,DepartureStation,ArrivalStation,DepartureDateTime,ArrivalDateTime,Price,AvailableSeats
1,Indian Railways - Duronto,Udaipur,Kochi,2025-07-21 09:30:29,2025-07-22 03:30:29,1091.11,66
2,Indian Railways - Duronto,Rishikesh,Ahmedabad,2024-04-26 21:50:47,2024-04-27 07:50:47,3159.17,92
3,Indian Railways - Express,Delhi,Udaipur,2026-10-15 10:45:45,2026-10-15 18:45:45,1999.32,94
4,Indian Railways - Shatabdi,Mumbai,Dehradun,2025-01-23 12:29:39,2025-01-24 06:29:39,3182.54,81
5,Indian Railways - Shatabdi,Nagpur,Varanasi,2026-01-04 18:28:14,2026-01-05 02:28:14,3830.68,112
6,Indian Railways - Shatabdi,Guwahati,Kolkata,2025-08-24 03:33:13,2025-08-24 13:33:13,3411.86,92
7,Indian Railways - Rajdhani,Guwahati,Rishikesh,2025-01-09 12:13:12,2025-01-10 06:13:12,1233.46,28
8,Indian Railways - Duronto,Manali,Goa,2026-05-11 12:03:46,2026-05-11 20:03:46,2759.4,59
9,Indian Railways - Vande Bharat,Hyderabad,Nagpur,2024-04-19 23:05:51,2024-04-20 13:05:51,4266.06,9
10,Indian Railways - Express,Nagpur,Pune,2026-10-21 04:21:44,2026-10-22 04:21:44,2525.32,52
11,Indian Railways - Express,Mumbai,Chennai,2024-10-08 07:17:33,2024-10-08 15:17:33,4446.2,114
12,Indian Railways - Rajdhani,Surat,Chennai,2025-10-09 06:33:59,2025-10-10 06:33:59,2347.84,80
13,Indian Railways - Duronto,Kolkata,Kochi,2024-04-28 00:10:17,2024-04-28 10:10:17,1179.41,99
14,Indian Railways - Rajdhani,Kolkata,Dehradun,2024-11-20 17:49:29,2024-11-21 17:49:29,843.51,55
15,Indian Railways - Express,Udaipur,Indore,2026-04-06 15:37:13,2026-04-07 01:37:13,319.61,68
16,Indian Railways - Vande Bharat,Pune,Manali,2026-02-03 00:30:45,2026-02-03 08:30:45,1100.42,86
17,Indian Railways - Duronto,Delhi,Udaipur,2025-05-24 08:14:17,2025-05-25 02:14:17,1610.79,13
18,Indian Railways - Rajdhani,Chandigarh,Bhopal,2025-09-18 06:04:51,2025-09-18 10:04:51,1552.45,37
19,Indian Railways - Duronto,Surat,Manali,2026-12-01 21:42:47,2026-12-02 11:42:47,2121.39,87
20,Indian Railways - Shatabdi,Chennai,Kochi,2026-09-30 13:04:47,2026-10-01 13:04:47,992.51,116
21,Indian Railways - Shatabdi,Chandigarh,Delhi,2025-04-12 08:10:02,2025-04-13 02:10:02,1187.0,2
22,Indian Railways - Rajdhani,Dehradun,Bhopal,2024-12-12 04:29:03,2024-12-12 12:29:03,1875.81,81
23,Indian Railways - Vande Bharat,Jaipur,Rishikesh,2026-12-31 22:41:15,2027-01-01 02:41:15,4477.66,84
24,Indian Railways - Rajdhani,Hyderabad,Udaipur,2024-02-10 01:45:22,2024-02-10 19:45:22,2050.46,48
25,Indian Railways - Shatabdi,Hyderabad,Guwahati,2025-06-01 17:16:20,2025-06-02 11:16:20,1163.08,87
26,Indian Railways - Rajdhani,Udaipur,Delhi,2025-09-08 15:19:24,2025-09-09 09:19:24,3082.43,34
27,Indian Railways - Rajdhani,Amritsar,Shimla,2024-10-07 15:14:56,2024-10-08 15:14:56,2448.66,79
28,Indian Railways - Shatabdi,Hyderabad,Goa,2024-08-21 03:52:08,2024-08-21 13:52:08,2857.81,99
29,Indian Railways - Express,Jaipur,Bhopal,2025-02-17 13:01:53,2025-02-18 07:01:53,1540.48,5
30,Indian Railways - Shatabdi,Guwahati,Nagpur,2025-03-01 17:30:01,2025-03-02 01:30:01,311.5,85
31,Indian Railways - Vande Bharat,Bengaluru,Hyderabad,2026-10-08 05:25:48,2026-10-08 09:25:48,615.2,92
32,Indian Railways - Duronto,Hyderabad,Jaipur,2025-04-18 16:37:47,2025-04-19 00:37:47,2249.96,12
33,Indian Railways - Duronto,Kolkata,Mumbai,2025-08-18 13:06:54,2025-08-19 13:06:54,2089.18,14
34,Indian Railways - Shatabdi,Hyderabad,Rishikesh,2024-04-03 00:21:07,2024-04-04 00:21:07,3086.09,21
35,Indian Railways - Rajdhani,Kochi,Lucknow,2026-06-15 22:38:21,2026-06-16 06:38:21,1865.01,43
36,Indian Railways - Duronto,Kolkata,Hyderabad,2026-03-31 14:34:21,2026-04-01 00:34:21,3809.98,88
37,Indian Railways - Rajdhani,Nagpur,Indore,2024-12-07 04:06:58,2024-12-07 10:06:58,4422.59,108
38,Indian Railways - Vande Bharat,Kolkata,Hyderabad,2026-05-02 21:30:30,2026-05-03 07:30:30,3149.25,23
39,Indian Railways - Shatabdi,Amritsar,Chandigarh,2026-01-04 22:15:31,2026-01-05 02:15:31,2328.93,62
40,Indian Railways - Duronto,Hyderabad,Indore,2026-06-21 01:40:25,2026-06-21 05:40:25,3050.89,1
41,Indian Railways - Vande Bharat,Shimla,Varanasi,2026-12-10 20:59:42,2026-12-11 14:59:42,1240.74,85
42,Indian Railways - Express,Kochi,Bhopal,2026-12-07 22:30:33,2026-12-08 02:30:33,3079.2,31
43,Indian Railways - Vande Bharat,Nagpur,Lucknow,2026-02-27 05:24:44,2026-02-28 05:24:44,4046.66,78
44,Indian Railways - Express,Mumbai,Delhi,2024-11-17 18:24:25,2024-11-18 18:24:25,3877.86,111
45,Indian Railways - Duronto,Kolkata,Bengaluru,2026-10-03 11:40:26,2026-10-03 17:40:26,4374.61,6
46,Indian Railways - Shatabdi,Bhopal,Ahmedabad,2026-02-14 14:40:58,2026-02-15 14:40:58,631.09,56
47,Indian Railways - Duronto,Dehradun,Surat,2024-06-29 18:08:53,2024-06-30 04:08:53,798.57,63
48,Indian Railways - Express,Manali,Udaipur,2024-02-06 03:44:13,2024-02-06 13:44:13,450.49,70
49,Indian Railways - Shatabdi,Delhi,Bengaluru,2025-09-15 18:30:28,2025-09-16 08:30:28,3049.3,58
50,Indian Railways - Express,Kochi,Lucknow,2024-04-21 08:06:58,2024-04-22 08:06:58,1694.29,98
51,Indian Railways - Rajdhani,Amritsar,Nagpur,2026-01-14 16:28:34,2026-01-14 20:28:34,3489.14,28
52,Indian Railways - Duronto,Delhi,Kochi,2025-12-28 23:04:15,2025-12-29 23:04:15,2600.3,47
53,Indian Railways - Shatabdi,Shimla,Hyderabad,2024-04-03 05:58:36,2024-04-03 15:58:36,3751.72,95
54,Indian Railways - Shatabdi,Manali,Indore,2024-08-07 09:15:30,2024-08-07 23:15:30,1087.68,119
55,Indian Railways - Duronto,Chandigarh,Pune,2026-07-25 06:56:19,2026-07-26 00:56:19,752.62,53
56,Indian Railways - Vande Bharat,Mumbai,Udaipur,2024-09-09 16:24:08,2024-09-10 02:24:08,4316.0,17
57,Indian Railways - Express,Nagpur,Delhi,2026-12-22 01:46:06,2026-12-22 15:46:06,3823.03,61
58,Indian Railways - Shatabdi,Bhopal,Rishikesh,2024-12-28 21:03:52,2024-12-29 03:03:52,734.93,84
59,Indian Railways - Vande Bharat,Amritsar,Kochi,2026-10-29 14:00:18,2026-10-30 00:00:18,4146.82,97
60,Indian Railways - Express,Ahmedabad,Jaipur,2026-03-25 12:28:59,2026-03-25 20:28:59,3680.15,17
61,Indian Railways - Vande Bharat,Indore,Amritsar,2026-11-15 10:52:59,2026-11-16 10:52:59,3914.97,91
62,Indian Railways - Vande Bharat,Manali,Guwahati,2025-03-21 07:18:50,2025-03-21 13:18:50,3300.42,87
63,Indian Railways - Vande Bharat,Lucknow,Varanasi,2024-09-28 23:40:08,2024-09-29 05:40:08,2578.46,81
64,Indian Railways - Express,Kochi,Shimla,2024-08-24 12:49:28,2024-08-25 02:49:28,2747.79,120
65,Indian Railways - Express,Varanasi,Shimla,2026-05-04 19:26:19,2026-05-05 03:26:19,3694.88,66
66,Indian Railways - Rajdhani,Hyderabad,Delhi,2026-02-19 05:17:28,2026-02-19 09:17:28,1139.59,96
67,Indian Railways - Rajdhani,Kolkata,Goa,2025-05-28 05:19:52,2025-05-29 05:19:52,3200.5,37
68,Indian Railways - Express,Pune,Rishikesh,2024-03-07 13:03:33,2024-03-08 13:03:33,730.42,111
69,Indian Railways - Express,Varanasi,Manali,2025-04-04 23:33:39,2025-04-05 13:33:39,1297.9,100
70,Indian Railways - Express,Shimla,Goa,2024-04-06 13:53:34,2024-04-06 23:53:34,4318.15,87
71,Indian Railways - Duronto,Kochi,Guwahati,2024-04-20 00:28:19,2024-04-20 18:28:19,1152.97,111
72,Indian Railways - Duronto,Rishikesh,Surat,2025-04-06 23:04:31,2025-04-07 17:04:31,3471.45,69
73,Indian Railways - Express,Manali,Amritsar,2025-02-06 07:02:42,2025-02-06 15:02:42,1045.19,87
74,Indian Railways - Express,Bengaluru,Kolkata,2024-12-21 18:42:30,2024-12-21 22:42:30,470.66,35
75,Indian Railways - Duronto,Guwahati,Jaipur,2024-09-23 05:51:33,2024-09-23 19:51:33,323.71,59
76,Indian Railways - Vande Bharat,Shimla,Chennai,2024-03-22 05:35:46,2024-03-22 13:35:46,513.59,119
77,Indian Railways - Vande Bharat,Udaipur,Amritsar,2025-09-08 17:51:37,2025-09-09 17:51:37,2610.67,9
78,Indian Railways - Vande Bharat,Shimla,Kochi,2026-12-12 08:00:30,2026-12-12 14:00:30,586.34,64
79,Indian Railways - Shatabdi,Kolkata,Indore,2026-04-06 03:20:51,2026-04-06 11:20:51,4010.27,84
80,Indian Railways - Vande Bharat,Kochi,Lucknow,2025-08-24 07:57:12,2025-08-25 07:57:12,2528.1,71
